sno,registration_no,project_name,promoter_name,district,project_type
895,UPRERAPRJ5790,SIKKA KAAMYA GREENS,ECO GREEN BUILDTECH PRIVATE LIMITED,Gautam Buddha Nagar,Residential
896,UPRERAPRJ4452,SIKKA KARMIC GREENS,G S PROMOTERS PRIVATE LIMITED,Gautam Buddha Nagar,Residential
897,UPRERAPRJ5764,SIKKA KARNAM GREENS,SIKKA INFRASTRUCTURE PVT LTD,Gautam Buddha Nagar,Residential
898,UPRERAPRJ5697,SIKKA KIMANTRA GREENS,Pinnacle Superstructures Private Limited,Gautam Buddha Nagar,Residential
899,UPRERAPRJ7474,SINGAPORE RESIDENCY,R S BUILTWELL PRIVATE LIMITED,Gautam Buddha Nagar,Residential
900,UPRERAPRJ783951/04/2024,SKA DESTINY  ONE,PRASU DEVELOPERS LLP,Gautam Buddha Nagar,Residential
901,UPRERAPRJ658704,SKA DIVYA TOWERS,JRS CONBUILD PVT LTD,Gautam Buddha Nagar,Residential
902,UPRERAPRJ768147/03/2025,SKA ESTATE,PRASU HOME LLP,Gautam Buddha Nagar,Residential
903,UPRERAPRJ16460,SKA metro Ville,KAMROOP INFRABUILD PVT LTD,Gautam Buddha Nagar,Residential
904,UPRERAPRJ186008,SKA ORION,Provence Developers Pvt Ltd,Gautam Buddha Nagar,Residential
905,UPRERAPRJ3377,SKAGREENARCH,PRASU INFRABUILD PRIVATE LIMITED,Gautam Buddha Nagar,Residential
906,UPRERAPRJ6664,Skytech Colours Avenue (Towers A-B-D-E & shops),Jatasya promoters Pvt ltd,Gautam Buddha Nagar,Residential
907,UPRERAPRJ300532/12/2025,SMARTWORLD ES,BLITZBAY DEVELOPERS PRIVATE LIMITED,Gautam Buddha Nagar,Mixed
908,UPRERAPRJ361748/06/2025,Sobha Aurum,SOBHA LIMITED,Gautam Buddha Nagar,Residential
909,UPRERAPRJ313638/03/2026,SOBHA RIVANA,SOBHA LIMITED; ATLASPUR CONSTRUCTION AND DEVELOPERS PRIVATE LIMITED,Gautam Buddha Nagar,Residential
910,UPRERAPRJ6811,SOLITAIRIAN CITY - (PARY) PHASE-1,PARY DEVELOPERS PRIVATE LIMITED,Gautam Buddha Nagar,Residential
911,UPRERAPRJ6856,SOLITAIRIAN CITY - (PARY) PHASE-2,PARY DEVELOPERS PRIVATE LIMITED,Gautam Buddha Nagar,Residential
912,UPRERAPRJ6887,SOLITAIRIAN CITY - (PARY) PHASE-3,PARY DEVELOPERS PRIVATE LIMITED,Gautam Buddha Nagar,Residential
913,UPRERAPRJ6634,SOLITAIRIAN CITY - (SOLI-)PHASE-1,SOLITAIRE REALINFRA PRIVATE LIMITED,Gautam Buddha Nagar,Residential
914,UPRERAPRJ6721,SOLITAIRIAN CITY - (SOLI-)PHASE-2,SOLITAIRE REALINFRA PRIVATE LIMITED,Gautam Buddha Nagar,Residential
915,UPRERAPRJ6766,SOLITAIRIAN CITY - (SOLI-)PHASE-3,SOLITAIRE REALINFRA PRIVATE LIMITED,Gautam Buddha Nagar,Residential
916,UPRERAPRJ17035,SPECTRUM METRO,Blue Square Infrastructure LLP,Gautam Buddha Nagar,Commercial
917,UPRERAPRJ427696,SPECTRUM METRO BLOCK- A and E,Blue Square Infrastructure LLP; AIMS MAX GARDENIA DEVELOPERS PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
918,UPRERAPRJ6018,spectrum@Metro ( Phase-1),Blue Square Infrastructure LLP,Gautam Buddha Nagar,Commercial
919,UPRERAPRJ6037,Spectrum@metro (Phase-3),Blue Square Infrastructure LLP,Gautam Buddha Nagar,Commercial
920,UPRERAPRJ6040,Spectrum@metro (Phase-4),Blue Square Infrastructure LLP,Gautam Buddha Nagar,Commercial
921,UPRERAPRJ6028,spectrum@metro(Phase-2),Blue Square Infrastructure LLP,Gautam Buddha Nagar,Commercial
922,UPRERAPRJ12103,SPEEDWAY AVENUE,PYRAMID TOWNSHIPS PRIVATE LIMITED,Gautam Buddha Nagar,Residential
923,UPRERAPRJ12128,SPEEDWAY AVENUE,PYRAMID TOWNSHIPS PRIVATE LIMITED,Gautam Buddha Nagar,Residential
924,UPRERAPRJ257845,Sports Complex,AMETEK BUILDTECH INDIA PRIVATE LIMITED,Gautam Buddha Nagar,Mixed
925,UPRERAPRJ408,SPORTS VILLAGE (PHASE-I),SUPERTECH LIMITED,Gautam Buddha Nagar,Residential
926,UPRERAPRJ565,"SPORTS VILLAGE (PHASE-II, VILLA)",SUPERTECH LIMITED,Gautam Buddha Nagar,Residential
927,UPRERAPRJ650295,"SPORTS VILLAGE (PHASE-III, Commercial)",SUPERTECH LIMITED,Gautam Buddha Nagar,Commercial
