sno,registration_no,project_name,promoter_name,district,project_type
1,UPRERAPRJ918,ATS ALLURE,ATS Realty Private Limited,Gautam Buddha Nagar,Residential
2,UPRERAPRJ4115,ATS RHAPSODY,ATS Township Private Limited,Gautam Buddha Nagar,Residential
3,UPRERAPRJ9414,Supertech Czar,SUPERTECH LIMITED,Gautam Buddha Nagar,Residential
4,UPRERAPRJ574384,"""1st - A Park View"" -  Gaur Yamuna City",Gaursons Realtech Private Limited,Gautam Buddha Nagar,Residential
5,UPRERAPRJ235739,"""1st - B Park View"" -  Gaur Yamuna City",Gaursons Realtech Private Limited,Gautam Buddha Nagar,Residential
6,UPRERAPRJ6742,14th Avenue (Group Housing) - Gaur City,Gaursons Promoters Private Limited,Gautam Buddha Nagar,Residential
7,UPRERAPRJ8242,168Xaviers - Cambridge and Crystal,OPULENT INFRADEVELOPERS PRIVATE LIMITED,Gautam Buddha Nagar,Residential
8,UPRERAPRJ6754,168Xaviers - MARIOTT TOWER,OPULENT INFRADEVELOPERS PRIVATE LIMITED,Gautam Buddha Nagar,Residential
9,UPRERAPRJ6801,16th Parkview - Gaur Yamuna City,Gaursons Realtech Private Limited,Gautam Buddha Nagar,Residential
10,UPRERAPRJ4464,2nd Parkview,Gaursons Realtech Private Limited,Gautam Buddha Nagar,Residential
11,UPRERAPRJ4193,32nd Parkview,Gaursons Realtech Private Limited,Gautam Buddha Nagar,Residential
12,UPRERAPRJ16103,3rd PARK VIEW - GAUR YAMUNA CITY,Gaursons Realtech Private Limited,Gautam Buddha Nagar,Residential
13,UPRERAPRJ538911,4th Parkview - Gaur Yamuna City,Gaursons Realtech Private Limited,Gautam Buddha Nagar,Residential
14,UPRERAPRJ7156,52nd Avenue (Phase-I),MMR Saha Infrastructure Private Limited,Gautam Buddha Nagar,Commercial
15,UPRERAPRJ15838,6th Parkview (Gaur Yamuna City),Gaursons Realtech Private Limited,Gautam Buddha Nagar,Residential
16,UPRERAPRJ15358,73 AVENUE,M.L.Infratech,Gautam Buddha Nagar,Residential
17,UPRERAPRJ6695,7th Avenue - Gaur City,Gaursons Hi-Tech Infrastructure Private Limited,Gautam Buddha Nagar,Residential
18,UPRERAPRJ16087,7th PARK VIEW - GAUR YAMUNA CITY,Gaursons Realtech Private Limited,Gautam Buddha Nagar,Residential
19,UPRERAPRJ7085,AARADHYAM GOLF HOMES,CLOVER PROBUILD PRIVATE LIMITED,Gautam Buddha Nagar,Residential
20,UPRERAPRJ6602,AARZA SQUARE-1,AARZA INFRATECH PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
21,UPRERAPRJ9911,AARZA SQUARE-2,AARZA INFRATECH PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
22,UPRERAPRJ14479,AASHIANA HOMES,JASBIR MAAN,Gautam Buddha Nagar,Residential
23,UPRERAPRJ16558,AASHIYANA GLORY,INVESTORS INN INFRASTRUCTURE PVT LTD,Gautam Buddha Nagar,Residential
24,UPRERAPRJ1050,AASTHA GREENS,AASTHA INFRACITY LIMITED,Gautam Buddha Nagar,Residential
25,UPRERAPRJ9325,AASTHA MIG ZONE I (M4 TO M6),M/s Uttam Steels & Associates { Consortium) throug; ANSAL HI-TECH TOWNSHIPS LTD,Gautam Buddha Nagar,Residential
26,UPRERAPRJ5670,AASTHA MIG ZONE II,M/s Uttam Steels & Associates { Consortium) throug; ANSAL HI-TECH TOWNSHIPS LTD,Gautam Buddha Nagar,Residential
27,UPRERAPRJ5685,"AASTHA MIG ZONE III (M3, M7-M11)",M/s Uttam Steels & Associates { Consortium) throug; ANSAL HI-TECH TOWNSHIPS LTD,Gautam Buddha Nagar,Residential
28,UPRERAPRJ9841,AASTHA UDAY,M/s Uttam Steels & Associates { Consortium) throug; ANSAL HI-TECH TOWNSHIPS LTD,Gautam Buddha Nagar,Residential
29,UPRERAPRJ248777/03/2025,ACE ACREVILLE,THREE C HOMES PVT.  LTD.,Gautam Buddha Nagar,Residential
30,UPRERAPRJ528653/07/2026,ACE ARTE,ACE INFRACITY DEVELOPERS PRIVATE LIMITED,Gautam Buddha Nagar,Mixed
31,UPRERAPRJ6734,Ace Divino,STARCITY REAL ESTATES PRIVATE LIMITED,Gautam Buddha Nagar,Residential
32,UPRERAPRJ467686/09/2025,Ace Edit,LOGIX BUILDESTATE PVT LTD,Gautam Buddha Nagar,Commercial
33,UPRERAPRJ442226/10/2024,Ace Estate,LOGIX BUILDESTATE PVT LTD,Gautam Buddha Nagar,Residential
34,UPRERAPRJ677887/10/2024,ACE HANEI,LA BUILDTECH PRIVATE LIMITED,Gautam Buddha Nagar,Mixed
35,UPRERAPRJ939595/03/2025,ACE HIVE,THREE C HOMES PVT.  LTD.,Gautam Buddha Nagar,Commercial
36,UPRERAPRJ348653,Ace Medley Avenue,LOGIX BUILDERS & PROMOTERS PVT. LTD.,Gautam Buddha Nagar,Commercial
37,UPRERAPRJ4514,Ace Parkway,ACE INFRACITY DEVELOPERS PRIVATE LIMITED,Gautam Buddha Nagar,Residential
38,UPRERAPRJ677294,Ace Starlit,Star Landcraft Private Limited,Gautam Buddha Nagar,Residential
39,UPRERAPRJ477604/04/2026,ACE TECH,Star Landcraft Private Limited,Gautam Buddha Nagar,Commercial
40,UPRERAPRJ683816/04/2024,Ace Terra,AJAY REALCON INDIA LLP,Gautam Buddha Nagar,Residential
41,UPRERAPRJ913692/03/2025,ACE VERDE,THREE C HOMES PVT.  LTD.,Gautam Buddha Nagar,Residential
42,UPRERAPRJ397607,ACE YXP,STARCITY BUILDERS AND PROMOTERS LLP,Gautam Buddha Nagar,Commercial
43,UPRERAPRJ1147,ADVANT NAVIS BUSINESS PARK,ADVANT IT PARK PVT. LTD.,Gautam Buddha Nagar,Commercial
44,UPRERAPRJ8647,Affordable Housing Sector-22D YEIDA,Yamuna Expressway Industrial devlopment Authority,Gautam Buddha Nagar,Residential
45,UPRERAPRJ902517,AIG IN ROYAL ( PHASE 3),ALPINE INFRAPROJECTS PVT LTD,Gautam Buddha Nagar,Residential
46,UPRERAPRJ958972,AIG ROYAL ( PHASE-2),ALPINE INFRAPROJECTS PVT LTD,Gautam Buddha Nagar,Residential
47,UPRERAPRJ17394,AIG ROYAL (PHASE 1),ALPINE INFRAPROJECTS PVT LTD,Gautam Buddha Nagar,Residential
48,UPRERAPRJ309036,AIGIN ROYAL PHASE 4,ALPINE INFRAPROJECTS PVT LTD,Gautam Buddha Nagar,Residential
49,UPRERAPRJ6895,Aims Golf Avenue (Phase -1),Aims Promoters Private Limited,Gautam Buddha Nagar,Residential
50,UPRERAPRJ6952,Aims Golf Avenue (Phase -2),Aims Promoters Private Limited,Gautam Buddha Nagar,Residential
51,UPRERAPRJ7002,Aims Golf Avenue (Phase-3),Aims Promoters Private Limited,Gautam Buddha Nagar,Residential
52,UPRERAPRJ7262,Aims Green Aenue (Phase-3),Aims Golf Town Developers Private Limited,Gautam Buddha Nagar,Residential
53,UPRERAPRJ7473,Aims Green Avenue (Phase-1),Aims Golf Town Developers Private Limited,Gautam Buddha Nagar,Residential
54,UPRERAPRJ7136,Aims GREEN Avenue (Phase-2),Aims Golf Town Developers Private Limited,Gautam Buddha Nagar,Residential
55,UPRERAPRJ10867,Aims Windsor street,Aims Golf Town Developers Private Limited,Gautam Buddha Nagar,Commercial
56,UPRERAPRJ10333,AISHWARYAM,Wall Rock Infratech Pvt Ltd,Gautam Buddha Nagar,Residential
57,UPRERAPRJ4999,AJNARA CITY VILLA (Phase - 1),AJNARA INDIA LIMITED,Gautam Buddha Nagar,Residential
58,UPRERAPRJ4207,Ajnara Homes (Phase-1 Tower: I J K L & M),APV Realty Limited,Gautam Buddha Nagar,Residential
59,UPRERAPRJ4273,Ajnara Homes (Phase-2 Tower N & O),APV Realty Limited,Gautam Buddha Nagar,Residential
60,UPRERAPRJ4539,Ajnara Homes (Phase-3 PLAZIO Convinient Shops),APV Realty Limited,Gautam Buddha Nagar,Residential
61,UPRERAPRJ2605,"Ajnara Panorama (Phase-1: Twr A, B C & G)",AJNARA INDIA LIMITED,Gautam Buddha Nagar,Residential
62,UPRERAPRJ2990,Ajnara Panorama (Phase-2 Villas),AJNARA INDIA LIMITED,Gautam Buddha Nagar,Residential
63,UPRERAPRJ3058,Ajnara Panorama (Phase-3 Studio & Convinient Shops,AJNARA INDIA LIMITED,Gautam Buddha Nagar,Residential
64,UPRERAPRJ420809/06/2026,Alpha Grand,VDMINFRA PROJECTS LLP,Gautam Buddha Nagar,Commercial
65,UPRERAPRJ6867,ALPHA PLAZA,SHREE VINAYAKA INFRASPACE DEVELOPERS PRIVATE LIMIT,Gautam Buddha Nagar,Commercial
66,UPRERAPRJ10115,Alphathum Phase - IV,BHUTANI GROUP,Gautam Buddha Nagar,Commercial
67,UPRERAPRJ7301,Alphathum Phase 1,BHUTANI GROUP,Gautam Buddha Nagar,Commercial
68,UPRERAPRJ7376,Alphathum Phase 2,BHUTANI GROUP,Gautam Buddha Nagar,Commercial
69,UPRERAPRJ10097,Alphathum PH-III,BHUTANI GROUP,Gautam Buddha Nagar,Commercial
70,UPRERAPRJ5632,Alstonia Apartments,ANS APARTMENTS PVT LTD,Gautam Buddha Nagar,Residential
71,UPRERAPRJ4783,AMAATRA HOMES,NANDI INFRATECH PVT LTD,Gautam Buddha Nagar,Residential
72,UPRERAPRJ9195,AMADEUS,SAHA INFRATECH PVT LTD,Gautam Buddha Nagar,Residential
73,UPRERAPRJ913592/01/2026,Amara Residences,Elegant IT Solutions Private Limited,Gautam Buddha Nagar,Residential
74,UPRERAPRJ7372,AMAZONIA (PHASE-I),ELATE REALTORS PRIVATE LIMITED,Gautam Buddha Nagar,Residential
75,UPRERAPRJ4569,ambarbyarihant,CITYCON BUILDWEL PRIVATE LIMITED,Gautam Buddha Nagar,Residential
76,UPRERAPRJ4249,Ambience Tiverton,Ambience Private Limited,Gautam Buddha Nagar,Residential
77,UPRERAPRJ5814,AMBROSIA (Phase-1: Tower A B C D & E),IVR PRIME DEVELOPERS (AVADI) PRIVATE LIMITED,Gautam Buddha Nagar,Residential
78,UPRERAPRJ5823,AMBROSIA (Phase-2: Tower F G H J & K),IVR PRIME DEVELOPERS (AVADI) PRIVATE LIMITED,Gautam Buddha Nagar,Residential
79,UPRERAPRJ5833,AMBROSIA (Phase-3: Convinient Shops),IVR PRIME DEVELOPERS (AVADI) PRIVATE LIMITED,Gautam Buddha Nagar,Residential
80,UPRERAPRJ888243,"AMBROSIA PHASE 04 (TOWER N1,N2,N3,N4,COMMERCIAL 5 & 6)",IVR PRIME DEVELOPERS (AVADI) PRIVATE LIMITED,Gautam Buddha Nagar,Residential
81,UPRERAPRJ14023,AMRAPALI CRYSTAL HOMES PHASE-1,AMRAPALI SILICON CITY PRIVATE LIMITED,Gautam Buddha Nagar,Residential
82,UPRERAPRJ14077,AMRAPALI CRYSTAL HOMES PHASE-2,AMRAPALI SILICON CITY PRIVATE LIMITED,Gautam Buddha Nagar,Residential
83,UPRERAPRJ13965,Amrapali Leisure Park- Phase-1,Amrapali Leisure Valley developers Pvt. Ltd.,Gautam Buddha Nagar,Residential
84,UPRERAPRJ13978,Amrapali Leisure Park- Phase-2,Amrapali Leisure Valley developers Pvt. Ltd.,Gautam Buddha Nagar,Residential
85,UPRERAPRJ13980,Amrapali Leisure Park- Phase-3,Amrapali Leisure Valley developers Pvt. Ltd.,Gautam Buddha Nagar,Residential
86,UPRERAPRJ13983,Amrapali Leisure Park- Phase-4,Amrapali Leisure Valley developers Pvt. Ltd.,Gautam Buddha Nagar,Residential
87,UPRERAPRJ13985,Amrapali Leisure Park- Phase-5,Amrapali Leisure Valley developers Pvt. Ltd.,Gautam Buddha Nagar,Residential
88,UPRERAPRJ13987,Amrapali Leisure Park- Phase-6,Amrapali Leisure Valley developers Pvt. Ltd.,Gautam Buddha Nagar,Residential
89,UPRERAPRJ14099,Amrapali Leisure Valley Phase 2  Villa B 1 to B 229 and B 437 to B 460,Amrapali Leisure Valley Pvt. Ltd.,Gautam Buddha Nagar,Residential
90,UPRERAPRJ14102,AMRAPALI Leisure Valley Phase 3 Villa B 230 B 385 and B 408 B 436,Amrapali Leisure Valley Pvt. Ltd.,Gautam Buddha Nagar,Residential
91,UPRERAPRJ14088,Amrapali Leisure Valley Phase-1  Villa A 1 to A 230 and  A 435 to 456,Amrapali Leisure Valley Pvt. Ltd.,Gautam Buddha Nagar,Residential
92,UPRERAPRJ14104,Amrapali Leisure Valley Phase-4 Villa A 231 and A 434,Amrapali Leisure Valley Pvt. Ltd.,Gautam Buddha Nagar,Residential
93,UPRERAPRJ14111,"AMRAPALI Leisure Valley VERONA HEIGHT Phase 10  Tower S,T,U,V",Amrapali Leisure Valley Pvt. Ltd.,Gautam Buddha Nagar,Residential
94,UPRERAPRJ14112,"AMRAPALI Leisure Valley VERONA HEIGHT Phase 11  Tower A1,B1,C1",Amrapali Leisure Valley Pvt. Ltd.,Gautam Buddha Nagar,Residential
95,UPRERAPRJ14113,"AMRAPALI Leisure Valley VERONA HEIGHT Phase 12 Tower D1,E1,F1,G1,H1",Amrapali Leisure Valley Pvt. Ltd.,Gautam Buddha Nagar,Residential
96,UPRERAPRJ14107,"AMRAPALI Leisure Valley VERONA HEIGHT Phase 6 Tower F,G,H,J,K",Amrapali Leisure Valley Pvt. Ltd.,Gautam Buddha Nagar,Residential
97,UPRERAPRJ14108,"AMRAPALI Leisure Valley VERONA HEIGHT Phase 7 Tower L,M,N",Amrapali Leisure Valley Pvt. Ltd.,Gautam Buddha Nagar,Residential
98,UPRERAPRJ14109,"AMRAPALI Leisure Valley VERONA HEIGHT Phase 8 Tower W,X,Y,Z",Amrapali Leisure Valley Pvt. Ltd.,Gautam Buddha Nagar,Residential
99,UPRERAPRJ14110,"AMRAPALI Leisure Valley VERONA HEIGHT Phase 9  Tower P,Q,R",Amrapali Leisure Valley Pvt. Ltd.,Gautam Buddha Nagar,Residential
100,UPRERAPRJ14106,"AMRAPALI Leisure Valley VERONA HEIGHT Phase-5 Tower A,B,C,D,E",Amrapali Leisure Valley Pvt. Ltd.,Gautam Buddha Nagar,Residential
101,UPRERAPRJ13954,AMRAPALI PRINCELY ESTATE,Amrapali Princely Estate Pvt Ltd,Gautam Buddha Nagar,Residential
102,UPRERAPRJ13992,Amrapali River View Plaza- Phase- 7,Amrapali Leisure Valley developers Pvt. Ltd.,Gautam Buddha Nagar,Commercial
103,UPRERAPRJ13871,Amrapali Sapphire (Phase 2),AMRAPALI SAPPHIRE DEVELOPERS PRIVATE LIMITED,Gautam Buddha Nagar,Residential
104,UPRERAPRJ14064,AMRAPALI SILICON CITY PHASE-1,AMRAPALI SILICON CITY PRIVATE LIMITED,Gautam Buddha Nagar,Residential
105,UPRERAPRJ14070,AMRAPALI SILICON CITY PHASE-2,AMRAPALI SILICON CITY PRIVATE LIMITED,Gautam Buddha Nagar,Residential
106,UPRERAPRJ16440,ANANT BEST HOMES,SAJID KHAN,Gautam Buddha Nagar,Residential
107,UPRERAPRJ15168,ANMOL RESIDENCY,ASHOKA BUILDERS,Gautam Buddha Nagar,Residential
108,UPRERAPRJ745377,ANTARA NOIDA PHASE 1,CONTEND BUILDERS PVT.LTD.,Gautam Buddha Nagar,Residential
109,UPRERAPRJ17793,Anthurium,AIRCON SYSTEMS INDIA PVT. LTD,Gautam Buddha Nagar,Commercial
110,UPRERAPRJ11102,ANTRIKSH ENGINEERS PVT LTD,M/S ANTRIKSH ENGINEERS PRIVATE LIMITED ( ANTRIKSH,Gautam Buddha Nagar,Commercial
111,UPRERAPRJ11283,ANTRIKSH GOLF CITY - COMMERCIAL,CONTEND INFRASTRUCTURE PRIVATE LIMITED ( ANTRIKSH,Gautam Buddha Nagar,Commercial
112,UPRERAPRJ6971,ANTRIKSH GOLF CITY ( PHASE II ),CONTEND INFRASTRUCTURE PRIVATE LIMITED ( ANTRIKSH,Gautam Buddha Nagar,Residential
113,UPRERAPRJ6978,ANTRIKSH GOLF CITY ( PHASE III ),CONTEND INFRASTRUCTURE PRIVATE LIMITED ( ANTRIKSH,Gautam Buddha Nagar,Residential
114,UPRERAPRJ6984,ANTRIKSH GOLF CITY ( PHASE IV ),CONTEND INFRASTRUCTURE PRIVATE LIMITED ( ANTRIKSH,Gautam Buddha Nagar,Residential
115,UPRERAPRJ6994,ANTRIKSH GOLF CITY ( PHASE V),CONTEND INFRASTRUCTURE PRIVATE LIMITED ( ANTRIKSH,Gautam Buddha Nagar,Residential
116,UPRERAPRJ6911,ANTRIKSH GOLF CITY ( PHASE-1),CONTEND INFRASTRUCTURE PRIVATE LIMITED ( ANTRIKSH,Gautam Buddha Nagar,Residential
117,UPRERAPRJ10913,Antriksh Golf Link (Phase 3),M/S ANTRIKSH ENGINEERS PRIVATE LIMITED ( ANTRIKSH,Gautam Buddha Nagar,Residential
118,UPRERAPRJ10510,Antriksh Golf Link Phase 2,M/S ANTRIKSH ENGINEERS PRIVATE LIMITED ( ANTRIKSH,Gautam Buddha Nagar,Residential
119,UPRERAPRJ10360,ANTRIKSH GOLF LINKS (PHASE-1),M/S ANTRIKSH ENGINEERS PRIVATE LIMITED ( ANTRIKSH,Gautam Buddha Nagar,Residential
120,UPRERAPRJ10944,Antriksh Golf View - I (Phase - II),ANTRIKSH DEVELOPERS & PROMOTERS PVT LTD ( ANTRIKSH,Gautam Buddha Nagar,Residential
121,UPRERAPRJ10343,Antriksh Golf View I,ANTRIKSH DEVELOPERS & PROMOTERS PVT LTD ( ANTRIKSH,Gautam Buddha Nagar,Residential
122,UPRERAPRJ10857,Antriksh Golf View II - Phase I,COLORFUL ESTATES PRIVATE LIMITED,Gautam Buddha Nagar,Residential
123,UPRERAPRJ7097,ANTRIKSH GOLF VIEW II ( PHASE II),COLORFUL ESTATES PRIVATE LIMITED,Gautam Buddha Nagar,Residential
124,UPRERAPRJ11308,ANTRIKSH GOLF VIEW II- COMMERCIAL,COLORFUL ESTATES PRIVATE LIMITED,Gautam Buddha Nagar,Residential
125,UPRERAPRJ7509,ANTRIKSH GRAND VIEW,CONSORTIUM INFRASTRUCTURE PVT LTD (ANTRIKSH INDIA,Gautam Buddha Nagar,Residential
126,UPRERAPRJ6048,ANTRIKSH GRAND VIEW (ANTRIKSH INDIA GROUP),KAILASHPURI BULIDTECH PRIVATE LIMITED (ANTRIKSH IN,Gautam Buddha Nagar,Residential
127,UPRERAPRJ10833,ANTRIKSH KANBALL 3G & FOREST(1),PERFECT PROPBUILD PVT LTD (ANTRIKSH GROUP),Gautam Buddha Nagar,Residential
128,UPRERAPRJ5929,ANTRIKSH VALLEY,DILIGENT BUILDERS PVT. LTD. (ANTRIKSH GROUP),Gautam Buddha Nagar,Residential
129,UPRERAPRJ7818,APEX ALPHABET (Formerly MISTY HEIGHTS),ALPHABET HEIGHTS PVT LTD (Formerly MAPLE REALCON PVT LTD),Gautam Buddha Nagar,Residential
130,UPRERAPRJ10394,APEX ATHENA,Apex Dream Homes Private Limited,Gautam Buddha Nagar,Residential
131,UPRERAPRJ8960,Apex Court,Apex Infraventures Pvt. Ltd.,Gautam Buddha Nagar,Residential
132,UPRERAPRJ8585,APEX GOLF AVENUE,FLORAL REALCON PVT LTD,Gautam Buddha Nagar,Residential
133,UPRERAPRJ16178,Apex Park Square,FLORAL REALCON PVT LTD; VIABLE VENTURE PVT LTD,Gautam Buddha Nagar,Commercial
134,UPRERAPRJ15792,ARIHANT ABODE,PROSPER BUILDTECH PRIVATE LIMITED,Gautam Buddha Nagar,Residential
135,UPRERAPRJ8415,"arihant arden phase 3( towers K,L,M,N)",ARIHANT INFRRA REALTORS PRIVATE LIMITED,Gautam Buddha Nagar,Residential
136,UPRERAPRJ939891,Arihant Armeria,ARHAM ESCON PVT. LTD.; ARHAM ESCON PVT. LTD.,Gautam Buddha Nagar,Residential
137,UPRERAPRJ723911,ARIHANT ONE,ARHAM ESCON PVT. LTD.,Gautam Buddha Nagar,Residential
138,UPRERAPRJ974543/02/2026,ARIHANT SEASONS,Arihant Urban Space Private Limited,Gautam Buddha Nagar,Residential
139,UPRERAPRJ585483/07/2026,Arqis Mall,ADONIS BUILDTECH PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
140,UPRERAPRJ315914,Artha Block-2,Artha Infratech Pvt. Ltd.,Gautam Buddha Nagar,Commercial
141,UPRERAPRJ981876,Artha Block-A,Artha Infratech Pvt. Ltd.,Gautam Buddha Nagar,Commercial
142,UPRERAPRJ13390,Artham (Formerly Broadwalk),WIZTOWN PLANNERS PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
143,UPRERAPRJ746615/10/2025,Ashtech Presidential Towers,Ashtech Industries Private Limited,Gautam Buddha Nagar,Residential
144,UPRERAPRJ569177,Aspire Plaza,NIRALA HOUSING PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
145,UPRERAPRJ6098,Assotech Celeste Towers,ASSOTECHLIMITED,Gautam Buddha Nagar,Residential
146,UPRERAPRJ1594,Assotech Realty Private Limited,Assotech Realty Private Limited,Gautam Buddha Nagar,Commercial
147,UPRERAPRJ6078,Assotech Windsor Court Phase-I & II,ASSOTECHLIMITED,Gautam Buddha Nagar,Residential
148,UPRERAPRJ202227/09/2025,Astrathum,Parmesh Construction Company Limited; YASHODA SUPER SPECIALITY HOSPITALS PVT. LTD.,Gautam Buddha Nagar,Mixed
149,UPRERAPRJ2612,ATS BOUQUET,ATS DREAMZONE PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
150,UPRERAPRJ417134,ATS DESTINAIRE,ATS Grand Realtors Private Limited; STARCITY BUILDCON PRIVATE LIMITED,Gautam Buddha Nagar,Residential
151,UPRERAPRJ3774,ATS DOLCE,Domus Greens Private Limited,Gautam Buddha Nagar,Residential
152,UPRERAPRJ3111,ATS HEDGES - PH1,ATS Realty Private Limited,Gautam Buddha Nagar,Residential
153,UPRERAPRJ697894,ATS KABANA HIGH,ATS Grand Realtors Private Limited; ATS GRAND REALTORS PRIVATE LIMITED; DAR INFRAVENTURES PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
154,UPRERAPRJ2575,ATS KINGHOOD DRIVE,ATS HOMES PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
155,UPRERAPRJ180413,ATS Kingston  Heath,CELERITY INFRASTRUCTURE PRIVATE LIMITED,Gautam Buddha Nagar,Residential
156,UPRERAPRJ3574,ATS Knightsbridge,ATS HEIGHTS PRIVATE LIMITED,Gautam Buddha Nagar,Residential
157,UPRERAPRJ14316,ATS LE GRANDIOSE PHASE-2,Nobility Estates Private Limited,Gautam Buddha Nagar,Residential
158,UPRERAPRJ3250,ATS LE GRANDIOSE -PHASE-I,Nobility Estates Private Limited,Gautam Buddha Nagar,Residential
159,UPRERAPRJ396176,ATS Picturesque Reprieves  Phase 2,ATS HOMES PRIVATE LIMITED,Gautam Buddha Nagar,Residential
160,UPRERAPRJ631,ATS Picturesque Reprieves Phase 1,ATS HOMES PRIVATE LIMITED,Gautam Buddha Nagar,Residential
161,UPRERAPRJ3796,ATS PRISTINE GOLF VILLAS ( Phase -1 ),CELERITY INFRASTRUCTURE PRIVATE LIMITED,Gautam Buddha Nagar,Residential
162,UPRERAPRJ2875,ATS PRISTINE-PHASE-II,ATS Housing Private Limited,Gautam Buddha Nagar,Residential
163,UPRERAPRJ804196/12/2024,AURUM ALUMNI ACCORD,FUTUREWORLD CONSTRUCTIONS PRIVATE LIMITED,Gautam Buddha Nagar,Mixed
164,UPRERAPRJ376378/11/2024,AURUM ALUMNI BLISS,STARCITY INFRADEVELOPERS  PRIVATE LIMITED,Gautam Buddha Nagar,Mixed
165,UPRERAPRJ185100,AVENUE 133,Franklin Infratech Pvt. Ltd.,Gautam Buddha Nagar,Commercial
166,UPRERAPRJ7336,AVS ORCHARD,AVP BUILDTECH (P) LTD.,Gautam Buddha Nagar,Residential
167,UPRERAPRJ11260,AVS ORCHID (H Tower),PERFECT PROPBUILD PVT LTD (ANTRIKSH GROUP),Gautam Buddha Nagar,Residential
168,UPRERAPRJ4197,AWHO GURJINDER VIHAR PHASE-IV,ARMY WELFARE HOUSING ORGANISATION,Gautam Buddha Nagar,Residential
169,UPRERAPRJ3914,"aypee Greens Pavilion Courts & Heights (Phase II),",Jaiprakash Associates Limited,Gautam Buddha Nagar,Residential
170,UPRERAPRJ15888,BALAJI APARTMENT,PANKAJ JAIN,Gautam Buddha Nagar,Residential
171,UPRERAPRJ6312,Bally Hai,SEIKOM INFRACOM PVT LTD,Gautam Buddha Nagar,Residential
172,UPRERAPRJ5580,Bandhan,Imperia Structures Ltd,Gautam Buddha Nagar,Commercial
173,UPRERAPRJ6938,BEETLE LAP (PHASE I),ROYAL HOMETOWN PLANNERS PRIVATE LIMITED,Gautam Buddha Nagar,Residential
174,UPRERAPRJ7022,BEETLE LAP (PHASE II),ROYAL HOMETOWN PLANNERS PRIVATE LIMITED,Gautam Buddha Nagar,Residential
175,UPRERAPRJ14205,BEETLE ORCHID,Yuvraj Infra Venture Private Limited,Gautam Buddha Nagar,Residential
176,UPRERAPRJ4480,BELVEDERE (Phase - 2: Tower E F & G),Sequel Buildcon Pvt. Ltd,Gautam Buddha Nagar,Residential
177,UPRERAPRJ4397,BELVEDERE (Phase-1: Tower A B C & D),Sequel Buildcon Pvt. Ltd,Gautam Buddha Nagar,Residential
178,UPRERAPRJ7235,BETA PLAZA,VINAYAKA SQUARE PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
179,UPRERAPRJ9728,BHS-12/13  ETA-II GH-1A/1,GREATER NOIDA INDUSTRIAL DEVELOPMENT AUTHORITY,Gautam Buddha Nagar,Residential
180,UPRERAPRJ10006,BHS-14 EWS XU-3,GREATER NOIDA INDUSTRIAL DEVELOPMENT AUTHORITY,Gautam Buddha Nagar,Residential
181,UPRERAPRJ9651,BHS-16 MU-II,GREATER NOIDA INDUSTRIAL DEVELOPMENT AUTHORITY,Gautam Buddha Nagar,Residential
182,UPRERAPRJ9684,BHS-16 SECTOR-10,GREATER NOIDA INDUSTRIAL DEVELOPMENT AUTHORITY,Gautam Buddha Nagar,Residential
183,UPRERAPRJ9632,BHS-17 LOHIYA ENCLAVE OMICRON-1A,GREATER NOIDA INDUSTRIAL DEVELOPMENT AUTHORITY,Gautam Buddha Nagar,Residential
184,UPRERAPRJ9565,BHS-17 LOHIYA ENCLAVE SECTOR-12,GREATER NOIDA INDUSTRIAL DEVELOPMENT AUTHORITY,Gautam Buddha Nagar,Residential
185,UPRERAPRJ8764,"BHS-17, LOHIYA ENCLAVE, PLOT NO-GH-03A, OMICRON-1",GREATER NOIDA INDUSTRIAL DEVELOPMENT AUTHORITY,Gautam Buddha Nagar,Residential
186,UPRERAPRJ335396/01/2026,Bhutani 18,Goodliving  Infrastructure Private Limited,Gautam Buddha Nagar,Residential
187,UPRERAPRJ656513/08/2025,BIIGTECH,Prasandi Infotech Park Private Limited,Gautam Buddha Nagar,Commercial
188,UPRERAPRJ8301,BLESSINGS,GEOTECH PROMOTERS PVT LTD,Gautam Buddha Nagar,Residential
189,UPRERAPRJ4466,"BLOSSOM COUNTY ( PHASE-4 TOWER -L,M,A & C)",LOGIX INFRASTRUCTURE PVT.LTD.,Gautam Buddha Nagar,Residential
190,UPRERAPRJ4411,"BLOSSOM COUNTY(PHASE-3TOWER-J1, K ,N & CLUB )",LOGIX INFRASTRUCTURE PVT.LTD.,Gautam Buddha Nagar,Residential
191,UPRERAPRJ4243,"BLOSSOM GREENS ( PHASE- 4 TOWERS - E , F & G)",LOGIX INFRATECH PRIVATE LIMITED,Gautam Buddha Nagar,Residential
192,UPRERAPRJ4264,"BLOSSOM GREENS ( PHASE- 5 TOWERS - B , C & D )",LOGIX INFRATECH PRIVATE LIMITED,Gautam Buddha Nagar,Residential
